Subject Code,Course Number,Name,Description,Dept Code,Dept Description
BIOLOGY,682,Senior Honors Thesis,Graded on a letter basis.,205,BIOLOGY
BIOLOGY,691,Senior Thesis,Graded on a letter basis.,205,BIOLOGY
BIOLOGY,692,Senior Thesis,Graded on a letter basis.,205,BIOLOGY
BIOLOGY,699,Directed Studies,Graded on a letter basis.,205,BIOLOGY
BMOLCHEM,314,Introduction to Human Biochemistry,Lectures and conferences on introductory aspects of biological chemistry with an emphasis on providing a broad overview of both basic and clinical aspects of human biochemistry for health professionals.,758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,504,Human Biochemistry Laboratory,Introduction to basic biochemistry and molecular biology lab techniques through investigation of an enzyme involved in human metabolism.,758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,606,Mathematical Methods for Structural Biology,"Intended to provide a rigorous foundation for mathematical modeling of biological structures. Mathematical techniques include ordinary and partial differential equations, 3D Fourier analysis and optimization. Biological applications include protein folding, molecular dynamics, implicit solvent electrostatics, and molecular interactions.  ",758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,609,Mathematical Methods for Systems Biology,"Intended to provide a rigorous foundation for mathematical modeling of biological systems. Mathematical techniques include dynamical systems and differential equations. Applications to biological pathways, including understanding of bistability within chemical reaction systems, are emphasized.",758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,627,Methods and Technologies for Protein Characterization,"This course seeks to engage students interested in chemical instrumentation and those who desire to apply proteomic technologies to current biological problems.  Understanding the current proteomics landscape, the limitations of these technologies, and their practical applications are among the course learning objectives.  ",758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,668,Microbiology at Atomic Resolution,Three-dimensional protein structures form the basis for discussions of high resolution microbiology; how particular problems are solved with given protein architectures and chemistries and how themes of protein structure are modified and recycled.,758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,675,Advanced or Special Topics in Biomolecular Chemistry,None provided.,758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,699,Special Research Problems,Conferences.,758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,701,Professional Responsibility,"Training for the practical aspects of being a scientist. Will cover ethics, peer review, grant writing, science communication, career alternatives, paper writing, experimental design, research documentation, science funding, academic-private interface, scientific fraud, and more.",758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,704,Comprehensive Human Biochemistry,"Lectures, conferences, and lab. Comprehensive basics in the chemistry, enzymology, and metabolism of living systems, with emphasis on the biochemical aspects of function and control.  ",758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,720,Experimental Design and Paradigms in Cellular Biochemistry and Molecular Biology,"A literature-based course taught in module format and covering the following areas from historical to modern contexts: biochemistry of post-translational modification of proteins, model organisms, transcriptional switches, chromosome replication, and RNA in biological regulation.",758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,901,Biomolecular Chemistry Seminar,None provided.,758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,913,Seminar-RiboGroup (Advanced),Student-led discussions of RNA-related problems.,758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,914,Seminar-Molecular Biosciences (Advanced),"During the fall semester, molecular biosciences trainees who have not achieved dissertator status will present seminars based primarily on literature related to their projects. During the spring semester, molecular biosciences trainees with dissertator status will present seminars based upon their own research.",758,BIOMOLECULAR CHEMISTRY
BMOLCHEM,990,Advanced Biomolecular Chemistry and Research,None provided.,758,BIOMOLECULAR CHEMISTRY
BOTANY,100,Survey of Botany,"Major emphasis on the roles of plants and microbes in past and present global ecology, and the past and presnet uses of plants and microbes by humans, including emerging applications of biotechnology. Lectures and short lab/discussions.",208,BOTANY
BOTANY,123,"Plants, Parasites, and People","The course will explore the interaction between society and plant-associated microbes. Topics include: the Irish potato famine, pesticides in current agriculture, role of economics and consumer preference in crop disease management and the release of genetically engineered organisms.",208,BOTANY
BOTANY,130,General Botany,"Introduction to the basic principles and concepts of the biology of plants. an integrative approach stressing evolutionary sequences and the relationship between structure and function at succeeding levels of organization: molecule, cell, organism, population, community. Correlated lectures, laboratories, and discussions.",208,BOTANY
BOTANY,133,Genetics in the News,"The science of genetics is at the heart of many issues facing our society, and as such, genetics is often in the news. This course explores the underlying genetics and methodologies to gain a deeper understanding of the science behind the headlines so that we can make more informed decisions as citizens. This course is intended for non-biological science majors, but a high school or college-level biology course is recommended as a prerequisite.  ",208,BOTANY
BOTANY,151,Introductory Biology,"First semester of a two semester course designed for majors in biological sciences. Topics include: cell structure and function, cellular metabolism (enzymes, respiration, photosynthesis), information flow (DNA, RNA, protein), principles of genetics and selected topics in Animal Physiology. HS chem or concurrent registration in college chemistry strongly advised.",208,BOTANY
BOTANY,152,Introductory Biology,"Second semester of a two semester course designed for majors in biological sciences. Continuation of 151. Topics include: selected topics in plant physiology, a survey of the five major kingdoms of organisms, speciation and evolutionary theory, and ecology at multiple levels of the biological hierarchy.",208,BOTANY
BOTANY,160,Heredity,"Heredity; genetics for students not specializing in life sciences; principles of heredity; current advances in genetics applied to humans, animals and plants with their impact on life sciences and society. Lectures and discussion.  ",208,BOTANY
BOTANY,240,Plants and Humans,"Plant parts and demonstrations of their utility to humans, origins of domesticated plants, modifications of plants by humans, ecosystem services owed to plants, and reasons to sustain plant diversity.",208,BOTANY
BOTANY,250,Forests and Humans: From the Midwest to Madagascar,"Provides an overview of the geography, ecology, and economic importance of the world's forest biomes. Learn how climate influences vegetation and, in-turn, how forests impact global climate. Meet scientists working to understand the astounding biodiversity and ecological complexity of forest ecosystems, and how these ecosystems support human life. Discuss the threats to forest ecosystems around the world, and hear from the people trying to protect them. Emphasizes the forest resources and services upon which humans depend, and how we can maintain these resources into the future. Analyze the idea of 'sustainability' when it comes to forest management, hear alternative viewpoints about what this word means, and discuss potential trade-offs and conflicts. Look at the many real-world programs in place at the global, national, and local level to sustainably manage forests.",208,BOTANY
BOTANY,260,Introductory Ecology,"For nonbiology students: the relationships of organisms and the environment. Population dynamics and community organization, human-environment relationships, action programs.",208,BOTANY
BOTANY,265,Rainforests and Coral Reefs,"Are you awed by the amazing biodiversity found in rainforests and coral reefs? Want an opportunity to see these ecosystems first hand and decide if a career in tropical biology or international conservation is for you? This course focuses on the ecology of the world's most biodiverse ecosystems, and their global importance. Combining lecture with online discussions and case studies, you'll learn the physical, chemical, and biological processes that make rainforests and coral reefs function, and the history of human dependence upon these ecosystems. This course will help you understand why both of these ecosystems currently are threatened and what actions can and must be taken to protect them. An optional 10-day, 2 credit field expedition to a rainforest and/or coral reef site in Central or South America will be offered over winter break (Biology 399).",208,BOTANY
BOTANY,299,Directed Study in Botany,"Elementary level directed study/independent research. The purpose of this course to introduce undergraduate students to research questions and, facilitate their learning in the field of botany by providing them with guidance and mentorship in a research environment.",208,BOTANY
BOTANY,300,Plant Anatomy,"Plant structure and development of seed plants, primarily of flowering plants. Emphasis is placed on structure in relation to function and on the plant body as a structural and functional entity; lecture and lab.",208,BOTANY
BOTANY,305,Plant Morphology and Evolution,"A broad survey of the diversity of plants in the context of their evolutionary history. Similarities and differences in structure and reproduction among extant bryophytes, lycopods, ferns, gymnosperms, and flowering plants are emphasized along with the study of fossils representing extinct plant lineages.",208,BOTANY
BOTANY,330,Algae,"Introduction to ecology, evolution, systematics, taxonomy, physiology, biochemistry, cell biology, and molecular biology of freshwater, terrestrial and marine algae. Lecture and lab. Lab emphasis on techniques for identification, culture, analysis of growth and reproduction, and community composition assessment.",208,BOTANY
BOTANY,332,Fungi,"Growth, development, variability and dispersal of saprophytic, parasitic, and symbiotic fungi, with a consideration of their ecological and economic significance.",208,BOTANY
BOTANY,338,Environmental Biogeography,"This course will explore how physical and biological factors affect the distribution of terrestrial biomes, ecosystem types, and biodiversity; as well as the role of disturbance and recent human activities on differences in past and modern day species distributions.",208,BOTANY
BOTANY,339,Plant Biotechnology: Principles and Techniques I,"Theoretical and practical training in plant biotechnology including molecular biology, protein biochemistry and basic bioinformatic techniques used in fundamental and applied research on plants. Valuable hands-on training to those interested in careers in biotechnology.",208,BOTANY
BOTANY,340,Plant Cell Culture and Genetic Engineering,"Theoretical and practical training in plant cell and tissue culture, and plant genetic engineering. Includes overview of current techniques, biosafety and regulatory requirements, and experimental design and analysis used in fundamental and applied research on plants. Valuable hands-on training to those interested in careers in biotechnology.",208,BOTANY
BOTANY,370,Grassland Ecology,"Understand factors driving global, continental, regional, and local distribution of grasslands. Discuss how management affects provision of grassland ecosystem goods and services. Compare and contrast plant community and ecosystem dynamics in native prairie and intensively managed pastures.",208,BOTANY
BOTANY,400,Plant Systematics,"Plant systematics; the integration of taxonomy (identification, nomenclature, classification emphasizing flowering plants), evolution (speciation, reproductive biology, adaptation, convergence, biogeography), and phylogenetics (phenetics, cladistics, morphology and molecules). Lab emphasis on representative families and genera of flowering plants in Wisconsin, use of keys and manuals, plant collection. Recommended for botany majors; lecture and lab.",208,BOTANY
BOTANY,401,Vascular Flora of Wisconsin,"Taxonomic survey of the vascular plants of Wisconsin, with emphasis on the angio-sperms. Lecture, lab and field work.",208,BOTANY
BOTANY,402,Dendrology,"Identification, ranges, uses, and some ecological characteristics of evergreen and deciduous woody plants, both native and cultivated; lab and field work.",208,BOTANY
BOTANY,403,Field Collections and Identification,Students consult the instructor in the spring or summer for equipment and directions for making a plant collection in summer or fall.,208,BOTANY
BOTANY,410,Evolutionary Biology,"Evolutionary biology, emphasizing how modern scientists study evolution. Topics include: nature and mechanisms of microevolution, macroevolution, adaptation, speciation; systematics and taxonomy; quantitative genetics and measurement of natural selection; phylogenetic analyses of behavior, physiology, morphology, biochemistry; current controversies in evolution.",208,BOTANY
BOTANY,422,Plant Geography,"Biogeography of plants. Relationship to climate and geology; paleobiogeography, vicariance and island biogeography; history and distribution of floras of North America and Wisconsin; lecture and demo lab; open to advanced students in the natural sciences.",208,BOTANY
BOTANY,450,Midwestern Ecological Issues: A Case Study Approach,"This web course explores how ecological principles can be used to address contemporary environmental issues such as water quality, invasive species, and population growth. Emphasis on midwestern issues, practical approaches, the role of history, and geographic context.",208,BOTANY
BOTANY,455,The Vegetation of Wisconsin,"Ecology of Wisconsin plant communities: floristic composition, community structure; relationship to history, climate, soil, and geology; response to human perturbation. Lecture and lab.",208,BOTANY
BOTANY,459,Ecological Techniques for Field Monitoring,Field techniques to inventory and census plant and animal species and ecological processes and how to assemble these into useful databases. Emphasis on 'keystone' and invading exotic species that strongly affect community dynamics. Aimed at science teachers interested in participating in a monitoring network.,208,BOTANY
BOTANY,460,General Ecology,"Ecology of individual organisms, populations, communities, ecosystems, landscapes, and the biosphere. The interaction of organisms with each other and their physical environment. These relationships are studied, often in quantitative terms, in both field and laboratory settings; lecture and lab.",208,BOTANY
BOTANY,466,Principles of Genetics,"Genetics in eukaryotes and prokaryotes. Includes Mendelian genetics, mapping, molecular genetics, genetic engineering, cytogenetics, quantitative genetics, and population genetics. Illustrative material includes viruses, bacteria, plants, fungi, insects, and humans. Students may not enroll for GENETICS 466 and GENETICS 467/468.  ",208,BOTANY
BOTANY,473,Plant-Insect Interactions,"Multiple ways in which arthropods exploit plants, plant traits that deter or augment insects, environmental mediation of these interactions, effects on population dynamics, community ecology and co-evolution, and implications to natural resource management, environmental quality, and sustainable development.",208,BOTANY
BOTANY,474,Ethnobotany,"Study of the interactions between human cultures and plants. Topics include: traditional resource management and agriculture; crop domestication, evolution, and conservation; archaeobotany; indigenous knowledge; folk taxonomy; plants in symbolism and religion; dietary patterns; phytochemistry; global movement of plants and peoples.",208,BOTANY
BOTANY,500,Plant Physiology,"An in-depth look at plant growth, development, respiration, photosynthesis, mineral nutrition, and water relations. For junior, senior and graduate students; not for those who have taken Biocore. In the laboratory, experimental approaches will be used to demonstrate principles described in lecture. 3-credit option (lecture only) available with consent of instructor.",208,BOTANY
BOTANY,505,Plant-Microbe Interactions: Molecular and Ecological Aspects,"Molecular and ecological aspects of the interactions between plants and microorganisms. This course explores many of the themes, from genetic to integrative, of modern biology, and illustrates how study of plant-microbe interactions contributes to understanding of fundamental plant science.",208,BOTANY
BOTANY,555,Plant Functional Genomics and Bioinformatics,A survey of the underlying technologies of genomic research with a special emphasis on their applications in plant science. Provides students with a deeper understanding of the many public resources and databases being generated by large-scale genomics projects.  ,208,BOTANY
BOTANY,561,Introductory Cytogenetics,"Mitosis, meiosis, variations in chromosome structure and number, cytological aspects of hybridity and apomixis; chromosomes as they affect breeding behavior.  ",208,BOTANY
BOTANY,563,Phylogenetic Analysis of Molecular Data,A course in the theory and practice of phylogenetic inference from DNA sequence data.,208,BOTANY
BOTANY,575,Special Topics,"Topics of interest to undergraduates, taught as the need arises.",208,BOTANY
BOTANY,621,Plant Biochemistry,"Biochemistry of photosynthesis, respiration, cell walls, and other metabolic and biosynthetic processes in plants.",208,BOTANY
BOTANY,626,Mineral Nutrition of Plants,"Essential and beneficial elements, solutions and soil as nutrient sources, rhizosphere chemistry, nutritional physiology, ion uptake and translocation, functions of elements, nutrient interactions, genetics of plant nutrition.",208,BOTANY
BOTANY,629,Evolutionary Genetics,"Basic principles of phylogenetics, population genetics and quantitative genetics including the construction of gene trees, forces affecting the amount and distribution of genetic variation in populations, and the inheritance and evolution of multifactorial characters.  ",208,BOTANY
BOTANY,651,Conservation Biology,"Application of ecological principles and human dimensions to the conservation of biological diversity. Topics: biodiversity science; conservation planning; population ecology; habitat loss, species exploitation, invasive species, pollution; human attitudes and activities as they affect the biosphere; approaches to monitoring interventions.",208,BOTANY
BOTANY,655,Biology and Genetics of Filamentous Fungi,"Fungal genetics, genomics, and physiology using plant pathogenic fungi and the genetic models Aspergillus nidulans and Neurospora crassa as model systems to explore the current knowledge of fungal genetics and plant/fungal interactions.  ",208,BOTANY
BOTANY,670,Adaptive Restoration Lab,Field experience in restoration as an adaptive process involving field experimentation; baseline data collection on restoration sites; design of experiments to advance restoration science; quantitative evaluation of restoration outcomes. Analysis and interpretation of data; development of a team report.  ,208,BOTANY
BOTANY,672,Historical Ecology,"Historical Ecology is an area of ecology that considers the importance of past events for current ecosystems. Concepts and applications are emphasized. Multidisciplinary emphasis, for seniors and graduate students in biological sciences, social studies, and humanities. Discussion format.",208,BOTANY
BOTANY,681,Senior Honors Thesis,None provided.,208,BOTANY
BOTANY,682,Senior Honors Thesis,None provided.,208,BOTANY
BOTANY,691,Senior Thesis,"Introduction to botanical research; if possible, plans for the thesis program should be made by the close of the junior year.",208,BOTANY
BOTANY,692,Senior Thesis,Continuation of 691.,208,BOTANY
BOTANY,698,Directed Study,None provided.,208,BOTANY
BOTANY,699,Directed Study,None provided.,208,BOTANY
BOTANY,725,Ecosystem Concepts,"Scope and objectives of ecosystem ecology; roles of theory, long-term studies, comparative studies, and large-scale experiments; scaling problems; ecosystem services and ecological economics; adaptive ecosystem assessment and management.",208,BOTANY
BOTANY,801,Advanced Plant Community Ecology,"Ecological determinants of plant community structure, dynamics, and diversity from an evolutionary perspective. Relations of vegetation types, physiognomy and phenology to plant adaptation and constraints. Gradient analysis, succession, nutrient cycling, plant-herbivore interactions, species richness. (Includes field trip to Great Smoky Mountains.)",208,BOTANY
BOTANY,802,Physiological Plant Ecology,"Gas exchange at the individual plant and community level, energy balance and water relations, nutrient cycling, biomechanical adaptations; growth analysis; adaptations to sun and shade, primary productivity models, physiological ecology of selected plant communities (arctic/alpine, boreal, chaparral, desert, tropical, aquatic). Lecture and lab.",208,BOTANY
BOTANY,820,Foundations of Evolution,"Through reading and analysis of the primary literature, this course will explore some of the most important themes and debates that have permeated evolutionary biology over the last 50 years. Students will read key papers related to each controversial topic, will debate the pros and cons of competing viewpoints, and will reflect on the relevance of the issues to contemporary evolutionary biology. Students will also write a paper that analyzes one topic in more detail. This course is intended for graduate students who plan to specialize in evolutionary biology, broadly construed.",208,BOTANY
BOTANY,840,Regulatory Mechanisms in Plant Development,Molecular mechanisms whereby endogenous and environmental regulatory factors control development; emphasis on stimulus perception and primary events in the signal chain leading to modulated gene expression and cellular development; lecture.  ,208,BOTANY
BOTANY,858,Special Topics in Plant Physiology,Subjects vary. Lecture.,208,BOTANY
BOTANY,860,Plant Cell Biology,"Structure/function relationships at the cellular level. Topics include the biogenesis of organelles, vesicle traffic, ion transport and signalling processes, and organization of the cytoskeleton and cell wall.",208,BOTANY
BOTANY,879,Advanced Landscape Ecology,"Landscape ecology emphasizes spatial patterning--its development and importance for ecological processes--and often focuses on large regions. Concepts, methods, and applications of landscape ecology will be learned through lectures, readings, exercises in quantitative approaches, and an independent project.",208,BOTANY
BOTANY,911,Limnology and Marine Science Seminar,Sections in various fields of zoological research.,208,BOTANY
BOTANY,920,Seminar in Algology: Fresh Water Algae,Seminar in Algology: Fresh Water Algae,208,BOTANY
BOTANY,930,Seminar-Mycology,None provided.,208,BOTANY
BOTANY,940,Seminar in Plant Systematics and Evolution,None provided.,208,BOTANY
BOTANY,941,Plant Taxonomy Journal Review,None provided.,208,BOTANY
BOTANY,950,Seminar-Plant Ecology,None provided.,208,BOTANY
BOTANY,951,Plant Ecology Journal Review,None provided.,208,BOTANY
BOTANY,953,Introduction to Ecology Research at UW-Madison,"This seminar course will introduce new graduate students to the diversity of ecologists across the UW-Madison campus. Course meetings will include discussions of key topics in professional development, research presentations by faculty members, and discussions of assigned papers with senior graduate students.",208,BOTANY
BOTANY,960,Seminar-Plant Physiology,None provided.,208,BOTANY
BOTANY,990,Research-Phycology,None provided.,208,BOTANY
BOTANY,993,Research: Fungal Biology,None provided.,208,BOTANY
BOTANY,994,Research-Plant Systematics,None provided.,208,BOTANY
BOTANY,995,Research-Plant Ecology,None provided.,208,BOTANY
BOTANY,996,Research-Plant Physiology,None provided.,208,BOTANY
BSE,1,Cooperative Education Program,Work experience which combines classroom theory with practical knowledge of operations to provide students with a background upon which to base a professional career.,112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,1,Cooperative Education Program,Work experience which combines classroom theory with practical knowledge of operations to provide students with a background upon which to base a professional career.,112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,201,Land Surveying Fundamentals,"Basic surveying terminology, equipment, note keeping, computations and data presentation. Emphasis on differential leveling, radial topographic surveying and radial stakeout using a total station survey instrument.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,202,Field Applications in Surveying,"Application of basic surveying techniques to field problems related to topographic and feature mapping, construction and land surveys.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,210,Livestock Housing and Waste Management,"Emphasis on dairy, swine and beef; environmental factors related to housing; housing types and components; manure management systems.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,216,Irrigation Systems - Design and Use,Effect of irrigation development on agricultural and environmental characteristics of areas. Introduction to irrigation system component selection and effective utilization of irrigation systems.  ,112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,218,Drainage Systems,Introduction to the engineering aspects of surface and subsurface drainage systems.  ,112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,238,Crop Drying and Preservation,"Drying and aeration systems, moisture measurement, chemical preservation, grain quality.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,239,Processing and Handling Feeds,"Principles of conveying, metering, mixing, size reduction, and storage for farm feeds and materials.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,240,Field Machines,"Principles of performance, capacity, operation, and components of machines used in production agriculture: tillage, chemical application, planting and harvesting of agricultural crops. Economic analysis for profitable equipment sizing, scheduling and system selection.  ",112,AGRICULTURAL ENGINEERING
BSE,243,Operating and Management Principles of Off-Road Vehicles,"Principles of operation of internal combustion engines, fuel metering, cooling, lubrication, clutches, mechanical and hydrostatic transmissions, final drives, hydraulics systems and traction systems. Selection and management of off-road vehicles for agriculture, construction, lawncare and turfgrass industries.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,245,Tractors,"Principles of operation, construction and maintenance of wheel type tractors. Tractor types, hydraulics, tires, traction, hitching systems, and tractor testing. Not recommended for students in engineering.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,249,Engineering Principles for Biological Systems,"Applications of basic engineering principles such as mass and energy balances, psychrometric heat and mass transfer and fluid flow to problems encountered in agricultural and biological systems including grain conditioning, fruit and vegetable storage, food processing, animal housing, and environmental control.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,270,Introduction to Computer Aided Design,"Introduction to computer aided design (CAD) concepts and techniques, including two- and three-dimensional drawing presentation, methods of graphic communication and design synthesis. Specific topics include parametric solid modeling, part design, survey data and surface construction, orthographic drawings, dimensioning rules and drawing standards, assemblies, and animation.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,299,Independent Study,None provided.,112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,308,Career Management for Engineers,"Information to aid engineers in career decision making including: personal time and fiscal management, job selection, career development, leadership, legal aspects of engineering, professional ethics.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,309,Biological Systems Engineering Design Practicum I,"Overview of the engineering design process including problem identification, information retrieval, specification writing, development and analysis of alternative solutions, selection methodology, product safety, standardization, scheduling and cost estimating. Students develop design project proposals for real-world design problems.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,310,Wood Manufacturing Processes,"Manufacturing methods for lumber, lumber products (including flooring, furniture, pallets), particleboard, plywood, pulp, and other wood products; log quality and harvesting techniques required for manufacturing these products; grading rules and requirements.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,313,Wood as a Building Material,"Properties of wood; description of various engineered wood products; construction techniques with lumber, plywood, and composite products; grades related to design and use.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,349,Quantitative Techniques for Biological Systems,"Principles of how energy and materials are utilized in Cells, organisms and ecosystems. Mass transfer, heat and energy balances applied to cell metabolism, plants, and ecosystems. Quantification of biological processes to allow manipulation for human benefit.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,351,Structural Design for Agricultural Facilities,"Introduction to agricultural building codes and loads; structural analysis; wood, concrete and soil properties; wood and reinforced concrete design; construction specifications.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,356,Sustainable Residential Construction,"Properties and use of building materials, framing systems, HVAC systems, code requirements, conservation of natural resources in building construction and operation.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,361,Principles of Agricultural Machinery,Functional requirements and basic principles of machines for production and handling of crops. Fundamental considerations which influence designs of agricultural machines.  ,112,AGRICULTURAL ENGINEERING
BSE,362,Tractor and Power Equipment,"The principles of design of tractors, power equipment, and electrical machinery utilized in agricultural operations. Tractor stability, hydraulic equipment, power testing procedures.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,364,Engineering Properties of Food and Biological Materials,"Study of various physical, mechanical, thermal and other properties of food and biological materials. Importance of such property values on the design and operation of various food and bioprocess engineering systems.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,365,Measurements and Instrumentation for Biological Systems,"Principles of instrumentation and measurement systems, analysis of experimental data, electronic components, instrumentation for measuring various parameters of biological systems (temperature, force, flow).",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,367,Renewable Energy Systems,"Students will learn about the state-of-the-art in renewable energy applications including biomass for heat, electric power and liquid fuels as well as geo-energy sources such as wind, solar, and hydro power. Students will do engineering calculations of power and energy availability of renewable energy sources and learn about requirements for integrating renewable energy sources into production, distribution and end-use systems.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,372,On-Site Waste Water Treatment and Dispersal,"On-site treatment and dispersal of waste water from homes, commercial sources and small communities. Sources, pretreatment units, nutrient removal units, constructed wetlands, surface and soil dispersal systems, recycle and reuse systems, regulations, alternative collection systems.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,375,Special Topics,None provided.,112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,399,Coordinative Internship/Cooperative Education,None provided.,112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,400,Study Abroad in Biological Systems Engineering,Provides an area equivalency for courses taken on Madison Study Abroad Programs that do not equate to existing UW courses.,112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,409,Career Management for Engineers,"Information to aid engineers in career decision making including: personal time and fiscal management, job selection, career development, leadership, legal aspects of engineering, professional ethics.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,441,Rheology of Foods and Biomaterials,Fundamentals of rheology and rheological evaluations of food and biomaterials; structure-function relationships.  ,112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,449,Structural Systems,"Specialized topics in structural design and structural engineering related to construction processes. Emphasis on understanding behavior of structural systems rather than individual components. Topics may include: structural bracing during construction, impact of fire on strength and design for fire ratings, special considerations in long span structures, selection of structural system layouts and other unique subjects.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,460,Biorefining: Energy and Products from Renewable Resources,"Concepts, processes, status quo and future direction of biorefining for production of energy (fuels), chemicals and materials from biomass, with emphases on chemical, biological and engineering aspects of the biorefining.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,461,Food and Bioprocessing Operations,"Principles of mechanics, fluid dynamics, and heat and mass transfer as applied to food and bioprocessing operations. Specific focus on unit operations and equipment associated with the products key to Wisconsin industries including pulp and paper, dairy products, ethanol, forage, and grain.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,464,Heat and Mass Transfer in Biological Systems,"Introduction to heat and mass transfer fundamentals, including transport mechanisms of conduction, convection, radiation, diffusion and evaporation. Development of governing equations and boundary conditions with application to living systems, controlled environments, water systems, and food processing. Introduction to, and application of, finite-difference and finitevolume methods, including computational fluid dynamics (CFD).",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,472,Sediment and Bio-Nutrient Engineering and Management,"Hydrologic, biologic and engineering applications in the design and management of sediment and bio-nutrient control systems.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,473,Irrigation and Drainage Systems Design,Engineering and management applications of soil-plant-water relationships applied to drainage and irrigation design.,112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,475,Engineering Principles of Agricultural Machinery,"Engineering design principles of machines for the production, processing and handling of crops for food, fuel, bio-mass and fiber. Environmental and biological factors that influence machine design and operation. Economic and capacity analysis of machines and systems.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,476,Engineering Principles of Off-Road Vehicles,"Engineering design principles of heavy-duty vehicles intended for off-road use: fuels, engine cycles, engine principles and construction, clutches, mechanical and hydrostatic transmissions, final drives, traction systems, traction modeling, dynamic behavior, suspension systems and braking.",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,491,Legal Aspects of Engineering,Legal principles and institutions germane to engineering practice; formation and performance of engineer-client and owner-contractor relationships; preparation of technical specifications; surety bonds and insurance; construction liens; contract administration; construction contract remedies; intellectual property of engineers; engineers' obligations to society and their fellow engineers.,112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,492,Estimates and Costs,"Principles of estimating for the construction industry; contractor's and subcontractor's detailed estimates and bids; engineer's preliminary, comparative and final estimates; quantity takeoffs and cost determinations for all items which contribute to project costs.  ",112,AGRICULTURAL ENGINEERING
BSE,501,Fundamentals of Biological and Agricultural Engineering Design,"Fundamental principles of biological and agricultural engineering design: problem identification, design criteria, creativity, analysis, selection processes, product liability, ethics, standardization, evaluation. Selection of individual design project.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,502,Biological and Agricultural Engineering Design Laboratory,"Individual or team work on biological and agricultural engineering design project: analysis of alternative solutions, selection methodology, solution justification, engineering analysis, design layout, fabrication specifications, cost estimating, final written and oral presentations.  ",112,BIOLOGICAL SYSTEMS ENGINEERING
BSE,508,Biological Systems Engineering Design Practicum I,"Overview of the engineering design process including problem identification, information retrieval, specification writing, development and analysis of alternative solutions, selection methodology, product safety, standardization, scheduling and cost estimating. Students develop design project proposals for real-world design problems.",112,BIOLOGICAL SYSTEMS ENGINEERING
